ecrivain,ecrivainLabel,nationaliteLabel,dateNaissance,dateMort,lieuNaissanceLabel,lieuDecesLabel,GeolocLieuNaissance,GeolocLieuDeces
http://www.wikidata.org/entity/Q44183,William Golding,Royaume-Uni,1911-09-19T00:00:00Z,1993-06-19T00:00:00Z,St Columb Minor,Perranarworthal,Point(-5.05 50.4167),Point(-5.119 50.208)
http://www.wikidata.org/entity/Q47152,Mary Shelley,Royaume-Uni,1797-08-30T00:00:00Z,1851-02-01T00:00:00Z,Somers Town,Chester Square,Point(-0.131497222 51.530969444),Point(-0.149722222 51.495277777)
http://www.wikidata.org/entity/Q57277,Gottfried Benn,Allemagne,1886-05-02T00:00:00Z,1956-07-07T00:00:00Z,Putlitz,Berlin-Ouest,Point(12.05 53.25),Point(13.16666667 52.53333333)
http://www.wikidata.org/entity/Q57393,Anna Seghers,République démocratique allemande,1900-11-19T00:00:00Z,1983-06-01T00:00:00Z,Mayence,Berlin-Est,Point(8.266666666 50.0),Point(13.404444444 52.518611111)
http://www.wikidata.org/entity/Q51513,Hugo von Hofmannsthal,Autriche,1874-02-01T00:00:00Z,1929-07-15T00:00:00Z,Vienne,Rodaun,Point(16.373064 48.20833),Point(16.2422 48.1328)
http://www.wikidata.org/entity/Q44540,Oskar Maria Graf,États-Unis,1894-07-22T00:00:00Z,1967-06-28T00:00:00Z,Berg,New York,Point(11.355833333 47.9675),Point(-73.94 40.67)
http://www.wikidata.org/entity/Q57393,Anna Seghers,Allemagne,1900-11-19T00:00:00Z,1983-06-01T00:00:00Z,Mayence,Berlin-Est,Point(8.266666666 50.0),Point(13.404444444 52.518611111)
http://www.wikidata.org/entity/Q45765,Jack London,États-Unis,1876-01-12T00:00:00Z,1916-11-22T00:00:00Z,San Francisco,Glen Ellen,Point(-122.433333 37.766667),Point(-122.531111111 38.364444444)
http://www.wikidata.org/entity/Q49478,Marivaux,France,1688-02-04T00:00:00Z,1763-02-12T00:00:00Z,Paris,Paris,Point(2.351827777 48.856577777),Point(2.351827777 48.856577777)
http://www.wikidata.org/entity/Q47561,Ivo Andrić,"État des Slovènes, Croates et Serbes",1892-10-10T00:00:00Z,1975-03-13T00:00:00Z,Dolac,Belgrade,Point(17.6708 44.22),Point(20.466666666 44.816666666)
http://www.wikidata.org/entity/Q60753,Heinz Günter Konsalik,Allemagne,1921-05-28T00:00:00Z,1999-10-02T00:00:00Z,Cologne,Salzbourg,Point(6.957777777 50.942222222),Point(13.033333333 47.8)
http://www.wikidata.org/entity/Q57629,Carmen Sylva,Allemagne,1843-12-29T00:00:00Z,1916-03-02T00:00:00Z,château Monrepos de Neuwied,Bucarest,Point(7.4446 50.482),Point(26.083333333 44.4)
http://www.wikidata.org/entity/Q57307,Annette von Droste-Hülshoff,royaume de Prusse,1797-01-10T00:00:00Z,1848-05-24T00:00:00Z,château Hülshoff,Burg Meersburg,Point(7.50448 51.9714),Point(9.270277777 47.693888888)
http://www.wikidata.org/entity/Q43523,Gerhart Hauptmann,Allemagne,1862-11-15T00:00:00Z,1946-06-06T00:00:00Z,Szczawno-Zdrój,Jelenia Góra,Point(16.255 50.799444444),Point(15.72899 50.89973)
http://www.wikidata.org/entity/Q45124,Hamza Hakimzade Niyazi,Empire russe,1889-03-06T00:00:00Z,1929-03-18T00:00:00Z,Kokand,Chakhimardan,Point(70.9425 40.528611111),Point(71.798333333 39.979444444)
http://www.wikidata.org/entity/Q60851,Alfred Andersch,Suisse,1914-02-04T00:00:00Z,1980-02-21T00:00:00Z,Munich,Berzona,Point(11.5755 48.137194444),Point(8.85 46.216666666)
http://www.wikidata.org/entity/Q43444,Gustave Flaubert,France,1821-12-12T00:00:00Z,1880-05-08T00:00:00Z,Rouen,Croisset,Point(1.1025 49.443055555),Point(1.038423 49.441329)
http://www.wikidata.org/entity/Q47755,Imre Kertész,Hongrie,1929-11-09T00:00:00Z,2016-03-31T00:00:00Z,Budapest,Budapest,Point(19.040833333 47.498333333),Point(19.040833333 47.498333333)
http://www.wikidata.org/entity/Q64577,Peter Berling,Allemagne de l'Ouest,1934-03-20T00:00:00Z,2017-11-21T00:00:00Z,Międzyrzecz,Rome,Point(15.57801 52.44461),Point(12.482777777 41.893055555)
http://www.wikidata.org/entity/Q57236,Bettina von Arnim,Allemagne,1785-04-04T00:00:00Z,1859-01-20T00:00:00Z,Francfort-sur-le-Main,Berlin,Point(8.679722222 50.113611111),Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q58612,Yehuda Amichaï,Israël,1924-05-03T00:00:00Z,2000-09-22T00:00:00Z,Wurtzbourg,Jérusalem,Point(9.929444444 49.794444444),Point(35.216666666 31.783333333)
http://www.wikidata.org/entity/Q47087,Arthur C. Clarke,Sri Lanka,1917-12-16T00:00:00Z,2008-03-19T00:00:00Z,Minehead,Colombo,Point(-3.4738 51.2038),Point(79.833333333 6.916666666)
http://www.wikidata.org/entity/Q44520,Anne Brontë,Royaume-Uni,1820-01-17T00:00:00Z,1849-05-28T00:00:00Z,Thornton,Scarborough,Point(-1.8504 53.7898),Point(-0.4 54.283333333)
http://www.wikidata.org/entity/Q51107,Georges Courteline,France,1858-06-25T00:00:00Z,1929-06-25T00:00:00Z,Tours,Paris,Point(0.688333333 47.392777777),Point(2.351827777 48.856577777)
http://www.wikidata.org/entity/Q57307,Annette von Droste-Hülshoff,royaume de Prusse,1797-01-12T00:00:00Z,1848-05-24T00:00:00Z,château Hülshoff,Burg Meersburg,Point(7.50448 51.9714),Point(9.270277777 47.693888888)
http://www.wikidata.org/entity/Q50764,Éric Rohmer,France,1920-03-21T00:00:00Z,2010-01-11T00:00:00Z,Tulle,Paris,Point(1.772222222 45.265833333),Point(2.351827777 48.856577777)
