artist,artistLabel,birthPlaceLabel,coordsBP,coordsBPPast,pic,causeLabel,signat,plBurialLabel,plBurialCoords,plBurialCoordsPast,deathDate,generated
http://www.wikidata.org/entity/Q23465955,Władysław Ciesielski,Mogilno,"48.573333333, 7.752222222","17.95578,52.65806",http://commons.wikimedia.org/wiki/Special:FilePath/Alchimowicz%20W%C5%82adys%C5%82aw%20Ciesielski.jpg,,,,"48.838055555,2.326944444",,1901-01-01,1238
http://www.wikidata.org/entity/Q23465955,Władysław Ciesielski,Mogilno,"48.856577777, 2.351827777","17.95,52.65",http://commons.wikimedia.org/wiki/Special:FilePath/Alchimowicz%20W%C5%82adys%C5%82aw%20Ciesielski.jpg,,,,"48.861944444,2.394166666",,1901-01-01,1239
http://www.wikidata.org/entity/Q23612680,Alejandrina Gessler y Lacroix,Cádiz,"48.856577777, 2.351827777","-6.283333333,36.516666666",http://commons.wikimedia.org/wiki/Special:FilePath/Alejandrina%20Gessler%20de%20Lacroix%20%28Museo%20de%20C%C3%A1diz%29.jpg,,,,"48.861944444,2.394166666",,1907-01-01,1240
http://www.wikidata.org/entity/Q23617236,Angélique Mezzara,Paris,"48.856577777, 2.351827777","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Ang%C3%A9lique%20Mezzara%20pastel-%20Jeune%20fille.jpg,,,,"48.887777777,2.330277777",,1868-09-13,1241
http://www.wikidata.org/entity/Q23663392,Eugène Pertuiset,Corsier,"51.216666666, 4.4","6.216666666,46.25",http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89douard%20Manet%20-%20Pertuiset%2C%20le%20chasseur%20de%20lions.jpg,,,,"48.861944444,2.394166666",,1909-09-02,1242
http://www.wikidata.org/entity/Q23901657,Pierre Jérôme,Dunkirk,"48.856577777, 2.351827777","2.376388888,51.037777777",http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20J%C3%A9r%C3%B4me%20%281905-1982%29%20french%20painter%20in%20le%20Nord%20Maritime%2C%201934.jpg,,,,"48.861944444,2.394166666",,1982-03-11,1243
http://www.wikidata.org/entity/Q23902959,Roswitha Doerig,Appenzell,"45.824722222, 4.874444444","9.408611111,47.330555555",http://commons.wikimedia.org/wiki/Special:FilePath/RD%20Roswitha%201.JPG,,,,"48.838055555,2.326944444",,2017-02-27,1244
http://www.wikidata.org/entity/Q24817470,Peter Paul Duggan,Dublin,"48.856577777, 2.351827777","-6.265833333,53.3425",http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Paul%20Duggan%20%281844%29.jpg,,,,"48.838055555,2.326944444",,1861-10-27,1245
http://www.wikidata.org/entity/Q24845169,Ernest Jean Delahaye,Paris,"23.292777777, -102.700555555","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Ernest%20Jean%20Delahaye.png,,,,"48.838055555,2.326944444",,1921-06-22,1246
http://www.wikidata.org/entity/Q25378168,Wanda Davanzo,Naples,"50.95, 20.966666666","14.25,40.833333333",http://commons.wikimedia.org/wiki/Special:FilePath/Wanda%20Davanzo.jpg,,,,"48.5938,2.1925",,2017-10-16,1247
http://www.wikidata.org/entity/Q25391001,Constant-Joseph Desbordes,Douai,"50.846666666, 4.3525","3.079166666,50.370833333",http://commons.wikimedia.org/wiki/Special:FilePath/Constant%20Joseph%20Desbordes%20-%20Autoportrait.jpg,,,,"48.8118,2.36781",,1827-01-01,1248
http://www.wikidata.org/entity/Q26178897,Edmond Lesellier,Paris,"48.014444444, 1.234444444","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Lesellier.jpg,,,,"48.861944444,2.394166666",,1920-11-20,1249
http://www.wikidata.org/entity/Q26214364,Pierre Jacques Pelletier,Clermont-Ferrand,"48.856577777, 2.351827777","3.086944444,45.779722222",http://commons.wikimedia.org/wiki/Special:FilePath/Pelletier%20P.J.%20-%20Pastel%20-%20Une%20route%20enneig%C3%A9e%2C%20%C3%A0%20Paris%20ou%20en%20banlieue%20parisienne%20-%2046x60cm.jpg,,,,"48.838055555,2.326944444",,1931-10-04,1250
http://www.wikidata.org/entity/Q26247908,Henri Ferdinand Bellan,Paris,"48.856577777, 2.351827777","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Ferdinand%20Bellan%20cropped.jpg,,,,"48.861944444,2.394166666",,1922-07-12,1251
http://www.wikidata.org/entity/Q26252455,Mikheil Bilanishvili,Georgia,"51.507222222, -0.1275","43.733330555,42.016669444",http://commons.wikimedia.org/wiki/Special:FilePath/Mikheil%20Bilanishvili.self%20portert.jpg,,,,"48.861944444,2.394166666",,1934-03-08,1252
http://www.wikidata.org/entity/Q26426413,Eugène Konopatzky,Lutsk,"48.856577777, 2.351827777","25.324444444,50.747777777",http://commons.wikimedia.org/wiki/Special:FilePath/Konopatzky%20Eug%C3%A8ne%20%281886-1962%29.jpg,,,,"48.861944444,2.394166666",,1962-10-19,1253
http://www.wikidata.org/entity/Q26998020,Hrand Alyanak,Istanbul,"48.573333333, 7.752222222","28.960277777,41.01",http://commons.wikimedia.org/wiki/Special:FilePath/Hrant%20Alyanak.png,,,,"48.861944444,2.394166666",,1938-01-01,1254
http://www.wikidata.org/entity/Q27916030,Marguerite Cornillac,Châtillon-sur-Seine,"45.6075, 4.065277777","4.574166666,47.858333333",http://commons.wikimedia.org/wiki/Special:FilePath/Marguerite%20Cornillac%20au%20chapeau%20rouge.jpg,,,,"48.861944444,2.394166666",,1952-01-01,1255
http://www.wikidata.org/entity/Q27961860,Q27961860,Verona,"45.6075, 4.065277777","10.993741666,45.438158333",http://commons.wikimedia.org/wiki/Special:FilePath/Arduino%20Colato.jpg,,,,"48.861944444,2.394166666",,1954-02-01,1256
http://www.wikidata.org/entity/Q28165509,Germán Taibo González,A Coruña,"48.826111111, 2.193333333","-8.383333333,43.366666666",http://commons.wikimedia.org/wiki/Special:FilePath/Autorretrato%20German%20Taibo.jpg,,,,"48.826111111,2.193333333",,1919-01-01,1257
http://www.wikidata.org/entity/Q29014913,Paul-Eugène Mesplès,Paris,"44.017222222, 1.355","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Mespl%C3%A8s%20Comoedia%2014%201%201924.png,,,,"48.861944444,2.394166666",,1924-01-01,1258
http://www.wikidata.org/entity/Q32387323,Édouard-Jean Dambourgez,Pau (commune),"48.818333333, 2.434722222","-0.37,43.300833333",http://commons.wikimedia.org/wiki/Special:FilePath/Dambourgez%20Self%20%281844-1931%29.jpg,,,,"48.861944444,2.394166666",,1931-01-15,1259
