Title,Artist,Nationality,Gender,Date,DateAcquired,URL,ThumbnailURL,Column
Hatsu-Yume (First Dream),Bill Viola,(American),(Male),1981,1982-11-03,http://www.moma.org/collection/works/94791,http://www.moma.org/media/W1siZiIsIjIzMzcwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4d3ad79ca5c84c7c,
Goodboy,Aaron Young,(American),(Male),2001,2004-12-13,http://www.moma.org/collection/works/98805,http://www.moma.org/media/W1siZiIsIjE1MDg3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=92c666591b345099,
High Performance,Aaron Young,(American),(Male),2000,2004-12-13,http://www.moma.org/collection/works/98806,http://www.moma.org/media/W1siZiIsIjE1MDg3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=064ab1aaf498ec31,
Guitar Drag,Christian Marclay,(American),(Male),2000,2004-02-10,http://www.moma.org/collection/works/100107,http://www.moma.org/media/W1siZiIsIjEwNDkwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8e0e7eaf7dee8ae6,
Dunking,Jen DeNike,(American),(Female),2004,2005-06-30,http://www.moma.org/collection/works/100116,http://www.moma.org/media/W1siZiIsIjExMDc2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b2fbd834db2986c1,
Wrestling,Jen DeNike,(American),(Female),2003,2005-06-30,http://www.moma.org/collection/works/100117,http://www.moma.org/media/W1siZiIsIjExMDc2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=57d0ca219758cae5,
The Year of the Doppelganger,Slater Bradley,(American),(Male),2004,2005-11-25,http://www.moma.org/collection/works/100686,http://www.moma.org/media/W1siZiIsIjIzNTEyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=efa0f327dd8dec12,
The Best Decision Ever Made,Chris Miner,(American),(Male),2004,2006-01-18,http://www.moma.org/collection/works/102792,,
O Superman,Laurie Anderson,(American),(Female),1983,1982-01-01,http://www.moma.org/collection/works/107283,http://www.moma.org/media/W1siZiIsIjExMjk2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a7440a43a51029a1,
Media Burn,Ant Farm,(American),(),2003,1980-11-18,http://www.moma.org/collection/works/107284,http://www.moma.org/media/W1siZiIsIjE1MTYxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=01c3b36b621780db,
The Dominatrix Sleeps Tonight,Beth B,(American),(Female),1984,1986-01-02,http://www.moma.org/collection/works/107310,http://www.moma.org/media/W1siZiIsIjEyNzA5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3744625fba991428,
Lost Book Found,Jem Cohen,(American),(Male),1996,1999-10-06,http://www.moma.org/collection/works/107377,http://www.moma.org/media/W1siZiIsIjE0ODIwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=61a42f6d0db03def,
Beneath the Skin,Cecelia Condit,(American),(Female),1981,1984-07-23,http://www.moma.org/collection/works/107378,,
Scape-Mates,Ed Emshwiller,(American),(Male),1972,1985-12-13,http://www.moma.org/collection/works/107431,http://www.moma.org/media/W1siZiIsIjE5NDIxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=18ef39f619cce6dc,
Art Herstory,Hermine Freed,(American),(Female),1974,1999-06-15,http://www.moma.org/collection/works/107457,http://www.moma.org/media/W1siZiIsIjE0ODIwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0b1f8e5d6c7beaca,
Ohio to Giverny: Memory of Light,Mary Lucier,(American),(Female),1983,1999-01-28,http://www.moma.org/collection/works/107630,http://www.moma.org/media/W1siZiIsIjE1MTYxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f4ff2c42c85585e2,
Global Groove,Nam June Paik,(American),(Male),1973,1975-05-09,http://www.moma.org/collection/works/107679,http://www.moma.org/media/W1siZiIsIjE5NDIwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8d191c66ca9b37d6,
Tongues Untied,Marlon Riggs,(American),(Male),1989,1991-07-09,http://www.moma.org/collection/works/107709,http://www.moma.org/media/W1siZiIsIjExMzM3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=10360be6b91e28dd,
TV In and TV Out,Keith Sonnier,(American),(Male),1972,1975-05-15,http://www.moma.org/collection/works/107741,http://www.moma.org/media/W1siZiIsIjIyMTc5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=47a9e2a9c3de89e9,
The Space Between the Teeth,Bill Viola,(American),(Male),1977,1979-02-05,http://www.moma.org/collection/works/107939,http://www.moma.org/media/W1siZiIsIjE1MTYyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e3749859174b3a66,
Deafman Glance,Robert Wilson,(American),(Male),1981,1981-11-16,http://www.moma.org/collection/works/107961,http://www.moma.org/media/W1siZiIsIjIxNTc1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ad21eb31afddc5a6,
The Tree,Alex Ku,(American),(Male),1999,,http://www.moma.org/collection/works/109019,,
"Digital Video Effect: ""Editions""",Seth Price,(American),(Male),2006,2007-04-11,http://www.moma.org/collection/works/109151,http://www.moma.org/media/W1siZiIsIjE1MTU2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7f61638b63851067,
Interior Scroll-The Cave,Carolee Schneemann,(American),(Female),1995,2007-04-11,http://www.moma.org/collection/works/109934,http://www.moma.org/media/W1siZiIsIjEyNzk1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e627e88fcca70144,
A Bit of Matter and a Little Bit More,Lawrence Weiner,(American),(Male),1976,2007-04-11,http://www.moma.org/collection/works/109936,http://www.moma.org/media/W1siZiIsIjEyNzk1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a0c77d6985ffaff2,
Now,Lynda Benglis,(American),(Female),1973,1976-06-30,http://www.moma.org/collection/works/110547,http://www.moma.org/media/W1siZiIsIjE1NzU1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bc1799cbd0dfee1e,
"Tony Sinking into the Floor, Face Up, and Face Down",Bruce Nauman,(American),(Male),1973,2007-09-24,http://www.moma.org/collection/works/111016,http://www.moma.org/media/W1siZiIsIjEzNjA2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=184d472560efe8f3,
Technology/Transformation: Wonder Woman,Dara Birnbaum,(American),(Female),1979,2007-12-10,http://www.moma.org/collection/works/114400,http://www.moma.org/media/W1siZiIsIjEzNjAxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6bd26fce1a0b6b5b,
The Wall,Gordon Matta-Clark,(American),(Male),2007,2008-03-12,http://www.moma.org/collection/works/117943,http://www.moma.org/media/W1siZiIsIjEzNjA0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3925cd8a9f47877c,
KK Queens Survey,Kalup Linzy,(American),(Male),2005,2008-03-12,http://www.moma.org/collection/works/117950,http://www.moma.org/media/W1siZiIsIjEzNzY1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=edf7976c6bdaf360,
Melody Set Me Free,Kalup Linzy,(American),(Male),2007,2008-03-12,http://www.moma.org/collection/works/117952,http://www.moma.org/media/W1siZiIsIjEzNzY1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=325e5d425cfe9117,
Alarm A,William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118077,,
Dr. Joke,William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118078,,
Bad Movies,William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118079,,
Drop It,William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118080,,
"Oh Boy, Fruit",William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118081,,
Smoking,William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118082,,
Baseball Over Horseshoes,William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118083,,
Fast,William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118084,,
Piano Hands,William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118085,,
House for Sale,William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118086,,
Peck and Chuck B,William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118087,,
Alphabet,William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118088,,
Starter,William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118089,,
Night Song,William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118090,,
Alarm B,William Wegman,(American),(Male),1977,2008-03-12,http://www.moma.org/collection/works/118091,,
Television Delivers People,Richard Serra,(American),(Male),1973,1975-05-19,http://www.moma.org/collection/works/118185,http://www.moma.org/media/W1siZiIsIjEzOTI0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dbfc64d6035871dd,
The Matter,Woody Vasulka,(American),(Male),1974,1976-11-10,http://www.moma.org/collection/works/118186,http://www.moma.org/media/W1siZiIsIjE1MTYyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a9412bffcf6ad441,
