Compositeur;Titre;date de la premiere;lieu de la premiere;coordonnées;langue de l'opéra;image
Igor Stravinsky;Œdipus Rex;1927-05-30;théâtre de la Ville;48.857211111,2.348119444;latin;
Erich Wolfgang Korngold;Das Wunder der Heliane;1927-10-07;opéra d'État de Hambourg;53.556666666,9.988888888;;
Darius Milhaud;Le Pauvre Matelot;1927-12-12;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Ernst Křenek;Schwergewicht oder die Ehre der Nation;1928-05-06;Hessisches Staatstheater;50.0836,8.24583;;
Ernst Křenek;Der Diktator;1928-05-06;Hessisches Staatstheater;50.0836,8.24583;allemand;
Ernst Křenek;Das geheime Königreich;1928-05-06;Hessisches Staatstheater;50.0836,8.24583;allemand;
Richard Strauss;Die ägyptische Helena;1928-06-06;Semperoper;51.054444444,13.735277777;allemand;
Oscar Straus;Mariette ou Comment on écrit l'histoire;1928-10-01;théâtre Édouard VII;48.8713,2.3294;français;
Umberto Giordano;Il re;1929-01-12;La Scala;45.467777777,9.188611111;italien;
Sergueï Prokofiev;Le Joueur;1929-04-29;La Monnaie;50.849583,4.354167;russe;
Kurt Weill;Happy End;1929-09-02;Theater am Schiffbauerdamm;52.5217,13.3861;allemand;
Dmitri Chostakovitch;Le Nez;1930-01-18;théâtre Michel;59.93777778,30.32944444;russe;http://commons.wikimedia.org/wiki/Special:FilePath/The%20Nose%2011%202013.jpg
Pablo Sorozábal;Katiuska, la mujer rusa;1931-01-28;Teatre Victoria;41.374806,2.168778;espagnol;
Federico Moreno Torroba;Luisa Fernanda;1932-03-26;Teatro Calderón;40.4141,-3.70351;espagnol;
Richard Strauss;Arabella;1933-07-01;Semperoper;51.054444444,13.735277777;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Strauss%2C%20R.%20Arabella%20%28M%C3%BCnchen%2C%201952%29.JPG
Pablo Sorozábal;Adiós a la bohemia;1933-11-21;Teatro Calderón;40.4141,-3.70351;espagnol;
Dmitri Chostakovitch;Lady Macbeth du district de Mtsensk;1934-01-22;théâtre Michel;59.93777778,30.32944444;russe;http://commons.wikimedia.org/wiki/Special:FilePath/Lady%20Macbeth%20of%20the%20Mtsensk%20District.jpg
Ottorino Respighi;La fiamma;1934-01-23;Teatro dell'Opera di Roma;41.90089,12.495454;italien;
Richard Strauss;Die schweigsame Frau;1935-06-24;Semperoper;51.054444444,13.735277777;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Strauss3.jpg
Georges Enesco;Œdipe;1936-03-13;palais Garnier;48.871944444,2.331666666;français;http://commons.wikimedia.org/wiki/Special:FilePath/%C5%92dipe%20d%27Enesco.jpg
Paul Hindemith;Mathis le peintre;1938-05-28;opéra de Zurich;47.365,8.546944444;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Hindemith%2C%20P.%20Mathis%2C%20der%20Maler%20%28II%29%20%28M%C3%BCnchen%2C%201948%29.JPG
Tikhon Khrennikov;Into the Storm;1939-10-10;théâtre académique musical de Moscou;55.7647,37.6108;russe;
Achmet Kujanowitsch Schubanow;Abaï;1944-12-24;opéra Abaï;43.248888888,76.945833333;kazakh;
Sergueï Prokofiev;Guerre et Paix;1946-06-12;théâtre Michel;59.93777778,30.32944444;russe;http://commons.wikimedia.org/wiki/Special:FilePath/Kutuzov%27s%20Aria%20from%20War%20and%20Peace.jpg
Sergueï Prokofiev;Les Fiançailles au couvent;1946-11-03;théâtre Mariinsky;59.925555555,30.296111111;russe;
Francis Poulenc;Les Mamelles de Tirésias;1947-06-03;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Vano Muradeli;The Great Friendship;1947-09-28;Donetsk;48.008888888,37.804166666;russe;
Sergueï Prokofiev;Histoire d'un homme véritable;1948-12-03;théâtre Mariinsky;59.925555555,30.296111111;russe;
Pablo Sorozábal;Los burladores;1948-12-10;Teatro Calderón;40.4141,-3.70351;espagnol;
Carl Orff;Antigonae;1949-08-09;Manège des rochers;47.7983,13.0417;;
Pablo Sorozábal;Entre Sevilla y Triana;1950-04-08;Circo Price;40.40583333,-3.69861111;espagnol;
Jesús Guridi;La condesa de la aguja y el dedal;1950-04-08;Cine Madrid;40.41835278,-3.70369167;espagnol;
Darius Milhaud;Bolivar (opéra);1950-05-10;opéra de Paris;48.8719697,2.3316014;français;
Benjamin Britten;Billy Budd;1951-12-01;Royal Opera House;51.512891666,-0.122766666;anglais;
Paul Hindemith;Cardillac;1952-06-20;Semperoper;51.054444444,13.735277777;allemand;
Benjamin Britten;Gloriana;1953-06-08;Royal Opera House;51.512891666,-0.122766666;;
Iouri Chaporine;The Decembrists;1953-06-23;théâtre Bolchoï;55.760277777,37.618611111;russe;
Arnold Schönberg;Moses und Aron;1954-03-12;opéra de Zurich;47.365,8.546944444;allemand;
Benjamin Britten;The Turn of the Screw;1954-09-14;La Fenice;45.433333333,12.333055555;anglais;
Sergueï Prokofiev;L'Ange de feu;1954-11-05;théâtre des Champs-Élysées;48.86584,2.3029;russe;http://commons.wikimedia.org/wiki/Special:FilePath/Paolo%20Monti%20-%20Servizio%20fotografico%20%28Italia%2C%201973%29%20-%20BEIC%206348693.jpg
Federico Moreno Torroba;María Manuela;1957-01-01;Teatro de la Zarzuela;40.417186111,-3.696780555;espagnol;
Francis Poulenc;Dialogues des carmélites;1957-01-26;La Scala;45.467777777,9.188611111;français;
Francis Poulenc;Dialogues des carmélites;1957-01-26;La Scala;45.467777777,9.188611111;italien;
Francis Poulenc;La Voix humaine;1959-02-06;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Sergueï Prokofiev;Histoire d'un homme véritable;1960-10-07;théâtre Mariinsky;59.925555555,30.296111111;russe;
Manuel de Falla;Atlàntida;1961-11-24;Grand théâtre du Liceu;41.380277777,2.173611111;catalan;
Ernesto Halffter;Atlàntida;1961-11-24;Grand théâtre du Liceu;41.380277777,2.173611111;catalan;
Manuel de Falla;Atlàntida;1962-06-18;Grand théâtre du Liceu;41.380277777,2.173611111;catalan;
Ernesto Halffter;Atlàntida;1962-06-18;Grand théâtre du Liceu;41.380277777,2.173611111;catalan;
Gian Carlo Menotti;Le Dernier Sauvage;1963-10-21;opéra de Paris;48.8719697,2.3316014;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Gcmenotti.jpg
Matilde Salvador;Vinatea;1974-01-19;Grand théâtre du Liceu;41.380277777,2.173611111;catalan;
Manuel de Falla;Atlàntida;1976-09-09;Grand théâtre du Liceu;41.380277777,2.173611111;catalan;
Ernesto Halffter;Atlàntida;1976-09-09;Grand théâtre du Liceu;41.380277777,2.173611111;catalan;
Alban Berg;Lulu;1979-02-24;opéra de Zurich;47.365,8.546944444;allemand;
Salvatore Sciarrino;Lohengrin;1983-01-15;Teatro alla Scala. Piccola Scala. Milan, Italie;45.467291666,9.189138888;;
Olivier Messiaen;Saint François d'Assise;1983-11-28;opéra de Paris;48.8719697,2.3316014;français;
John Adams;The Death of Klinghoffer;1991-03-19;La Monnaie;50.849583,4.354167;anglais;
Thomas Adès;The Tempest;2004-02-10;Royal Opera House;51.512891666,-0.122766666;;
Arnold Schönberg;Moses und Aron;2010-01-16;opéra de Zurich;47.365,8.546944444;allemand;
Daniel Catán;Il Postino;2010-09-23;Dorothy Chandler Pavilion;34.056388888,-118.248611111;espagnol;
Grégoire Hetzel;La Chute de Fukuyama;2013-03-29;salle Pleyel;48.876994444,2.301036111;anglais;
Salvatore Sciarrino;Ti vedo, ti sento, mi perdo;2017-11-14;La Scala;45.467777777,9.188611111;;
