Compositeur;Titre;date de la premiere;lieu de la premiere;coordonnées;langue de l'opéra;image
Nicolas Dalayrac;L'Amant statue;1785-08-04;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Antonio Salieri;La grotta di Trofonio;1785-10-12;Burgtheater;48.210278,16.360833;italien;
Wolfgang Amadeus Mozart;Der Schauspieldirektor;1786-02-07;château de Schönbrunn;48.18479,16.31227;allemand;
Niccolò Antonio Zingarelli;Ifigenia in Aulide;1787-01-27;La Scala;45.467777777,9.188611111;;
Karl Ditters von Dittersdorf;Love in the Madhouse;1787-04-12;Burgtheater;48.210278,16.360833;allemand;
Wolfgang Amadeus Mozart;Don Giovanni;1787-10-29;théâtre des États;50.086111111,14.423888888;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Don%20Juan%20and%20the%20statue%20of%20the%20Commander%20mg%200119.jpg
Luigi Cherubini;Démophoon;1788-12-02;théâtre de la Porte-Saint-Martin;48.869027777,2.356666666;français;
Niccolò Antonio Zingarelli;La morte di Cesare;1790-12-26;La Scala;45.467777777,9.188611111;;
Nicolas Dalayrac;Camille ou le Souterrain;1791-03-19;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Domenico Cimarosa;Il matrimonio segreto;1792-02-07;Burgtheater;48.210278,16.360833;italien;http://commons.wikimedia.org/wiki/Special:FilePath/1931-Matrimonio-segreto.jpg
Niccolò Antonio Zingarelli;II mercato di Monfregoso;1792-09-22;La Scala;45.467777777,9.188611111;;
Antonio Salieri;Il Mondo alla rovescia;1795-01-13;Burgtheater;48.210278,16.360833;italien;
Simon Mayr;Lodoiska;1796-01-26;La Fenice;45.433333333,12.333055555;;
Niccolò Antonio Zingarelli;Giulietta e Romeo;1796-01-30;La Scala;45.467777777,9.188611111;italien;
Domenico Cimarosa;Gli Orazi e i Curiazi;1796-12-26;La Fenice;45.433333333,12.333055555;italien;
Giuseppe Mosca;I matrimoni liberi;1798-08-25;La Scala;45.467777777,9.188611111;;
Nicolas Dalayrac;Léon ou le Château de Monténéro;1798-10-15;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Simon Mayr;La Lodoiska;1799-12-26;La Scala;45.467777777,9.188611111;;
Luigi Cherubini;Les Deux Journées;1800-01-16;théâtre Feydeau;48.869841666,2.340055555;français;
François-Adrien Boieldieu;Le Calife de Bagdad;1800-09-16;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Nicolas Dalayrac;Maison à vendre;1800-10-23;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Simon Mayr;La due giornate;1801-08-18;La Scala;45.467777777,9.188611111;;
Giuseppe Mosca;La fortunata combinazione;1802-08-17;La Scala;45.467777777,9.188611111;;
Étienne-Nicolas Méhul;Joanna;1802-11-23;Paris;48.856577777,2.351827777;français;
Simon Mayr;Alonso e Cora;1803-12-26;La Scala;45.467777777,9.188611111;;
Vincenzo Federici;Oreste in Tauride;1804-01-27;La Scala;45.467777777,9.188611111;;
Simon Mayr;Eraldo ed Emma;1805-01-08;La Scala;45.467777777,9.188611111;;
Stefano Pavesi;Il trionfo di Emilia;1805-02-09;La Scala;45.467777777,9.188611111;;
Ludwig van Beethoven;Fidelio;1805-11-20;Theater an der Wien;48.199166666,16.363611111;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Fidelio18140523.jpg
Luigi Cherubini;Faniska;1806-02-25;Theater am Kärntnertor;48.2039,16.3694;allemand;
Simon Mayr;Adelasia ed Aleramo;1806-12-26;La Scala;45.467777777,9.188611111;italien;
Gaspare Spontini;La Vestale;1807-12-15;opéra de Paris;48.8719697,2.3316014;français;
Gaspare Spontini;La Vestale;1807-12-15;opéra de Paris;48.8719697,2.3316014;italien;
Pietro Ray;Alessandro in Armozia;1808-03-06;La Scala;45.467777777,9.188611111;;
Gioachino Rossini;La scala di seta;1812-05-09;Teatro San Moisè;45.433056,12.336111;italien;
Gioachino Rossini;La pietra del paragone;1812-09-26;La Scala;45.467777777,9.188611111;italien;
Gioachino Rossini;L'occasione fa il ladro;1812-11-24;Teatro San Moisè;45.433056,12.336111;italien;
Gioachino Rossini;Il signor Bruschino;1813-01-27;Teatro San Moisè;45.433056,12.336111;italien;
Simon Mayr;La rosa bianca e la rosa rossa;1813-02-21;Teatro di sant'Agostino;44.404722,8.931611;italien;
Luigi Cherubini;Les Abencérages, ou L'Étendard de Grenade;1813-04-06;Paris;48.856577777,2.351827777;français;
Gioachino Rossini;L'italiana in Algeri;1813-05-22;Teatro San Benedetto;45.435472222,12.3325;italien;http://commons.wikimedia.org/wiki/Special:FilePath/1930-Italiana-in-Algeri.jpg
Simon Mayr;Medea in Corinto;1813-11-28;Teatro San Carlo;40.8375,14.249444444;italien;
Gioachino Rossini;Aureliano in Palmira;1813-12-26;La Scala;45.467777777,9.188611111;italien;
Gioachino Rossini;Il turco in Italia;1814-08-14;La Scala;45.467777777,9.188611111;italien;
Gioachino Rossini;Elisabetta, regina d'Inghilterra;1815-10-04;Teatro San Carlo;40.8375,14.249444444;italien;
Carlo Coccia;I begli usi di città;1815-10-11;La Scala;45.467777777,9.188611111;italien;
Gioachino Rossini;Il barbiere di Siviglia;1816-02-20;Teatro Argentina;41.89558333,12.47616667;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Figaro.jpg
Louis Spohr;Faust;1816-09-01;Provisional Theatre;50.080681,14.41358;allemand;
Stefano Pavesi;La gioventù di Cesare;1817-04-07;La Scala;45.467777777,9.188611111;;
Gioachino Rossini;La gazza ladra;1817-05-31;La Scala;45.467777777,9.188611111;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Alessandro%20Sanquirico%20-%20Decor%20for%20Rossinis%20La%20gazza%20ladra.png
Gioachino Rossini;Armida;1817-11-11;Teatro San Carlo;40.8375,14.249444444;italien;
Giacomo Meyerbeer;Semiramide riconosciuta;1819-02-03;Teatro Regio;45.070555555,7.687777777;italien;
Ramón Carnicer;Adele di Lusignano;1819-05-15;Teatre Principal;41.3786,2.17528;italien;
Gaspare Spontini;Olimpie;1819-12-22;opéra de Paris;48.8719697,2.3316014;français;
Gioachino Rossini;Bianca e Falliero;1819-12-26;La Scala;45.467777777,9.188611111;italien;
Giacomo Meyerbeer;Margherita d'Anjou;1820-11-14;La Scala;45.467777777,9.188611111;italien;
Gioachino Rossini;Maometto II;1820-12-03;Teatro San Carlo;40.8375,14.249444444;italien;
Simon Mayr;Fedra;1820-12-26;La Scala;45.467777777,9.188611111;italien;
Ferdinando Paër;Le maître de chapelle;1821-03-29;théâtre Feydeau;48.869841666,2.340055555;français;
Carl Maria von Weber;Der Freischütz;1821-06-18;Konzerthaus de Berlin;52.513611,13.392222;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Der%20Freisch%C3%BCtz%20um%201822.jpg
Ramón Carnicer;Elena e Costantino;1821-07-16;Teatre Principal;41.3786,2.17528;italien;
Saverio Mercadante;Elisa e Claudio;1821-10-30;La Scala;45.467777777,9.188611111;italien;
Ramón Carnicer;Don Giovanni Tenorio;1822-06-20;Teatre Principal;41.3786,2.17528;;
Saverio Mercadante;Adele ed Emerico;1822-09-21;La Scala;45.467777777,9.188611111;italien;
Gaetano Donizetti;Chiara e Serafina;1822-10-26;La Scala;45.467777777,9.188611111;italien;
Simon Mayr;Demetrio;1823-12-27;Teatro Regio;45.070555555,7.687777777;italien;
